"ingredient","merchant","location","count","effect","weight","value"
"Alit Hide","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Daynali Dren","Tel Mora, Lower Tower","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Ernand Thierry","Caldera, Guild of Mages","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Anis Seloth","Sadrith Mora, Anis Seloth: Alchemist","5","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Alit Hide","Sedris Omalen","Maar Gan, Outpost","10","Drain Intelligence, Resist Poison, Telekinesis, Detect Animal","1.0","5"
"Ampoule Pod","Cienne Sintieve","Ald'ruhn, Cienne Sintieve: Alchemist","10","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Tusamircil","Wolverine Hall, Mages Guild","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Ernand Thierry","Caldera, Guild of Mages","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Craetia Jullalian","Vivec Foreign Quarter, Guild of Mages","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ampoule Pod","Jolda","Tel Mora, Jolda: Apothecary","5","Water Walking, Paralyze, Detect Animal, Drain Willpower","0.1","2"
"Ash Salts","Relms Gilvilo","Vivec, Redoran Temple Shrine","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Tivam Sadri","Holamayan Monastery","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Folvys Andalor","Ald'ruhn Temple","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Eldrilu Dalen","Vos, Vos Chapel","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Telis Salvani","Balmora, Temple","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Somutis Vunnis","Moonmoth Legion Fort, Interior","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Salts","Scelian Plebo","Wolverine Hall, Imperial Shrine","5","Drain Agility, Resist Magicka, Cure Blight Disease, Resist Magicka","0.1","25"
"Ash Yam","Chaplain Ogrul","Gnisis, Fort Darius","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Milar Maryon","Tel Vos, Services Tower","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Ygfa","Pelagiad, Fort Pelagiad","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Aunius Autrus","Wolverine Hall, Imperial Shrine","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Eldrilu Dalen","Vos, Vos Chapel","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Dulian","Buckmoth Legion Fort, Interior","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","Zanmulk Sammalamus","Gnisis, Temple","10","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Ash Yam","J'Rasha","Vivec, Foreign Quarter, J'Rasha: Healer","5","Fortify Intelligence, Fortify Strength, Resist Common Disease, Detect Key","0.5","1"
"Bittergreen Petals","Telis Salvani","Balmora, Temple","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Cocistian Quaspus","Buckmoth Legion Fort","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Zanmulk Sammalamus","Gnisis, Temple","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Threvul Serethi","Sadrith Mora, Thervul Serethi: Healer","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Ygfa","Pelagiad, Fort Pelagiad","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Scelian Plebo","Wolverine Hall, Imperial Shrine","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Bildren Areleth","Tel Aruhn, Bildren Areleth: Apothecary","10","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Bittergreen Petals","Vaval Selas","Vivec, St. Olms Temple","5","Restore Intelligence, Invisibility, Drain Endurance, Drain Magicka","0.1","5"
"Black Anther","Daynali Dren","Tel Mora, Lower Tower","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Andil","Tel Vos, Services Tower","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Ajira","Balmora, Guild of Mages","5","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Brarayni Sarys","Tel Aruhn, Tower Entry","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Nalcarya of White Haven","Balmora, Nalcarya of White Haven: Fine Alchemist","10","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
"Black Anther","Aurane Frernis","Vivec, Foreign Quarter, Aurane Frernis: Apothecary","5","Drain Agility, Resist Fire, Drain Endurance, Light","0.1","2"
